source,target, weatherStationId,commsIssuesFlag,createdAt,dataIssuesFlag,dlfLossFactor,generationWatt,latitude,longitude,mlfLossFactor,nearestBomStationId,nextProcessDueAt,nodeType,performanceSinceInceptionSortKey,pvSizeWatt,timezone
SITE|7d3c1e99-e2d4-445a-84a5-471eac9f75af,SITE|7d3c1e99-e2d4-445a-84a5-471eac9f75af,,FALSE,2023-06-14T23:49:04.295301Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.023083,2023-07-17T15:42:50.841782+00:00,SITE,123,12500,Australia/Adelaide
SITE|6694d182-a057-45a9-9493-a8e85a4d6667,SITE|6694d182-a057-45a9-9493-a8e85a4d6667,,,2023-01-24T03:24:02.717697Z,,,0,-26.4390917,133.281323,,au.bom.site.067119,2023-05-03T09:43:47.292053+00:00,SITE,86,94300,Australia/Sydney
SITE|b6246c83-852f-478f-89a2-93507baadee6,SITE|b6246c83-852f-478f-89a2-93507baadee6,au.bom.site.060168,,2022-09-29T07:03:36.912550Z,,1,0,,,1,,2023-07-24T11:41:13.001405+00:00,SITE,96,161320,Australia/Sydney
SITE|1cd240fc-90a8-4a49-a912-2cfca6a79039,SITE|1cd240fc-90a8-4a49-a912-2cfca6a79039,,FALSE,2023-06-27T05:24:09.297274Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009021,,SITE,,15000,Australia/Perth
SITE|9aea42c3-2985-478b-bca5-430309297a5a,SITE|9aea42c3-2985-478b-bca5-430309297a5a,,FALSE,2023-06-14T23:59:03.427457Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.079105,2023-07-17T15:42:44.862488+00:00,SITE,69,12500,Australia/Melbourne
SITE|1aea0e9d-bd0e-4b98-8f47-9954602ee1a4,SITE|1aea0e9d-bd0e-4b98-8f47-9954602ee1a4,,,2022-11-21T05:19:57.619668Z,,,0,-26.4390917,133.281323,,au.bom.site.086282,2023-05-03T10:40:50.184988+00:00,SITE,81,99670,Australia/Melbourne
SITE|bd60179d-e3d9-43b4-910b-921e0facdadb,SITE|bd60179d-e3d9-43b4-910b-921e0facdadb,,,2022-12-12T03:59:41.387452Z,,,,-26.4390917,133.281323,,au.bom.site.066194,,SITE,,0,Australia/Sydney
SITE|beece72d-9562-4568-bd7e-992323432ffc,SITE|beece72d-9562-4568-bd7e-992323432ffc,,FALSE,2023-06-27T03:45:40.461088Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.040958,,SITE,,32380,Australia/Brisbane
SITE|ac668c53-48b6-49c0-bfca-6baedaadefa6,SITE|ac668c53-48b6-49c0-bfca-6baedaadefa6,,FALSE,2023-06-29T00:49:17.071997Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009204,,SITE,,6600,Australia/Perth
SITE|1a99faf4-b1de-4971-a088-2ad120757f6e,SITE|1a99faf4-b1de-4971-a088-2ad120757f6e,,,2023-02-20T03:11:34.494117Z,,,,-26.4390917,133.281323,,au.bom.site.060141,,SITE,,0,Australia/Sydney
SITE|abe82bc6-1819-4914-9873-2810a6881409,SITE|abe82bc6-1819-4914-9873-2810a6881409,,FALSE,2023-06-15T00:18:44.771508Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.086282,2023-07-17T16:43:03.401337+00:00,SITE,117,10000,Australia/Melbourne
SITE|b7ce650e-3c26-4256-9c7d-17cef33e8229,SITE|b7ce650e-3c26-4256-9c7d-17cef33e8229,,FALSE,2023-06-15T00:15:39.439799Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.087031,2023-07-17T16:42:59.637062+00:00,SITE,118,8200,Australia/Melbourne
SITE|91b5e07d-baac-45f9-9e35-621b790f9f67,SITE|91b5e07d-baac-45f9-9e35-621b790f9f67,,FALSE,2023-06-29T02:18:18.159842Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009172,,SITE,,12500,Australia/Perth
SITE|4b6e3b0d-eb55-4c29-8aec-676e771fb8c1,SITE|4b6e3b0d-eb55-4c29-8aec-676e771fb8c1,,FALSE,2023-06-23T00:37:25.723149Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009225,,SITE,,30000,Australia/Perth
SITE|9662e287-e417-4e7c-af47-abd2568f44ca,SITE|9662e287-e417-4e7c-af47-abd2568f44ca,,,2022-02-09T00:40:55.390124Z,,,0,-26.4390917,133.281323,,au.bom.site.061055,2023-07-28T07:41:00.429726+00:00,SITE,85,78120,Australia/Sydney
SITE|ef62f031-d8cf-4fe1-934f-84059ee8051f,SITE|ef62f031-d8cf-4fe1-934f-84059ee8051f,,FALSE,2023-06-13T04:36:39.807043Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.040861,2023-07-17T04:41:46.413796+00:00,SITE,,10000,Australia/Brisbane
