source,target,azimuth,createdAt,latitude,longitude,loss,manufacturerApi,nodeSort,nodeType,pvSizeWatt,siteId,tilt,weatherStationId
MNTR|a5d5c287-736d-49be-a0f7-2e9ece9c847a,MNTR|a5d5c287-736d-49be-a0f7-2e9ece9c847a,0,2023-06-30T04:27:57.637471Z,-26.4390917,133.281323,0.15,FRONIUS,a5d5c287-736d-49be-a0f7-2e9ece9c847a,MNTR,15000,SITE|86f8d332-3e52-4407-95c6-ab9a272ca36f,10,au.bom.site.140007
MNTR|e49ca0fd-78f9-464e-88a5-9e0678f57749,MNTR|e49ca0fd-78f9-464e-88a5-9e0678f57749,0,2023-02-06T05:13:12.468596Z,-26.4390917,133.281323,0.15,SMA,e49ca0fd-78f9-464e-88a5-9e0678f57749,MNTR,27770,SITE|b1c622f3-a554-409c-9449-b76f15fefd80,10,au.bom.site.040913
MNTR|6915254,MNTR|6915254,0,2022-11-22T06:13:25.575031Z,-26.4390917,133.281323,0.15,SMA,6915254,MNTR,22765,SITE|104ce6fc-f279-4b94-ab0f-25ef1e4c6c7d,10,au.bom.site.061078
MNTR|fb71275f-0873-42a0-9aed-a1c0cc2c4542,MNTR|fb71275f-0873-42a0-9aed-a1c0cc2c4542,0,2023-02-06T05:21:47.712756Z,-26.4390917,133.281323,0.15,SMA,fb71275f-0873-42a0-9aed-a1c0cc2c4542,MNTR,27770,SITE|7d0ad983-8de4-4f4f-acff-1c889dc12b98,10,au.bom.site.040913
MNTR|5e024a2b-4d39-4501-96ce-c1832e606a23,MNTR|5e024a2b-4d39-4501-96ce-c1832e606a23,0,2023-01-24T03:54:41.013872Z,-26.4390917,133.281323,0.15,SMA,5e024a2b-4d39-4501-96ce-c1832e606a23,MNTR,27770,SITE|71ccc995-9898-4323-8c3f-cfe25510f89f,10,au.bom.site.068257
MNTR|1187200_1_1_1,MNTR|1187200_1_1_1,0,2023-03-09T00:39:07.580454Z,-26.4390917,133.281323,0.15,SUNGROW,1187200_1_1_1,MNTR,99900,SITE|bef8ffdb-edb0-4d12-a58f-37366380e1f4,10,au.bom.site.085314
MNTR|5341b2a9-347a-4801-bc49-afc77396b38a,MNTR|5341b2a9-347a-4801-bc49-afc77396b38a,0,2023-01-24T03:51:31.109782Z,-26.4390917,133.281323,0.15,SMA,5341b2a9-347a-4801-bc49-afc77396b38a,MNTR,27770,SITE|39ee6eeb-d013-4d8f-ba71-e6477de60b71,10,au.bom.site.061425
MNTR|f7b5a910-a16f-4f99-a5e2-86641acbc36e,MNTR|f7b5a910-a16f-4f99-a5e2-86641acbc36e,0,2023-02-06T05:31:53.841148Z,-26.4390917,133.281323,0.15,SMA,f7b5a910-a16f-4f99-a5e2-86641acbc36e,MNTR,61180,SITE|b1eec4a5-8f9d-45d3-aac8-db26df309acf,10,au.bom.site.023034
MNTR|0001c0274d84,MNTR|0001c0274d84,0,2022-02-09T00:31:40.108392Z,-26.4390917,133.281323,0.15,SWITCHDINV1,0001c0274d84,MNTR,174960,SITE|cc486bfa-705d-4cdb-a22c-ed6bc4b27b12,10,au.bom.site.061055
MNTR|4921373,MNTR|4921373,0,2022-11-30T04:24:49.984535Z,-26.4390917,133.281323,0.15,SMA,4921373,MNTR,24940,SITE|dc75b609-64a2-4f1d-a927-bea0088c4789,10,au.bom.site.086068
MNTR|07845536-38e5-4d0f-9b60-0205c0d16767,MNTR|07845536-38e5-4d0f-9b60-0205c0d16767,0,2023-01-24T04:01:38.990564Z,-26.4390917,133.281323,0.15,SMA,07845536-38e5-4d0f-9b60-0205c0d16767,MNTR,66730,SITE|70083ef6-295c-490e-b295-12943965868f,10,au.bom.site.066161
MNTR|6006120,MNTR|6006120,0,2023-02-09T05:43:38.290554Z,-26.4390917,133.281323,0.15,SMA,6006120,MNTR,26150,SITE|487fc4d8-2466-4073-af92-d79c795b882d,10,au.bom.site.009977
MNTR|1188881_1_1_1,MNTR|1188881_1_1_1,0,2023-02-03T00:45:00.392016Z,-26.4390917,133.281323,0.15,SUNGROW,1188881_1_1_1,MNTR,110000,SITE|baf0075e-6c63-4436-8cc2-4e69c07689cc,10,au.bom.site.091291
MNTR|944a747e-019d-4ab7-b36b-cb287a45501f,MNTR|944a747e-019d-4ab7-b36b-cb287a45501f,0,2023-07-03T00:45:32.654064Z,-26.4390917,133.281323,0.15,FRONIUS,944a747e-019d-4ab7-b36b-cb287a45501f,MNTR,27000,SITE|c62bba2b-9ee1-4406-be74-6d24d80028cc,10,au.bom.site.009215
MNTR|44885ff6-022a-4421-a658-c5fe6180fa59,MNTR|44885ff6-022a-4421-a658-c5fe6180fa59,0,2023-07-03T04:30:27.620887Z,-26.4390917,133.281323,0.15,FRONIUS,44885ff6-022a-4421-a658-c5fe6180fa59,MNTR,15000,SITE|4bed1ab3-2bb1-45a1-8166-d398923de63e,10,au.bom.site.009225
MNTR|7E15DFD7-49,MNTR|7E15DFD7-49,0,2023-07-21T05:25:57.069613Z,-26.4390917,133.281323,0.15,SOLAREDGEV1,7E15DFD7-49,MNTR,100582,SITE|b6246c83-852f-478f-89a2-93507baadee6,10,au.bom.site.060168
MNTR|7E0D9AAE-D3,MNTR|7E0D9AAE-D3,0,2023-07-25T00:00:08.581470Z,-26.4390917,133.281323,0.15,SOLAREDGEV1,7E0D9AAE-D3,MNTR,96600,SITE|1f07c3ff-bc2c-4c61-9844-db5c2ab437f5,10,au.bom.site.066037
MNTR|2bcc24d1-70be-4acd-af25-a2b8faa0220e,MNTR|2bcc24d1-70be-4acd-af25-a2b8faa0220e,0,2023-02-23T05:28:10.570245Z,-26.4390917,133.281323,0.15,FRONIUS,2bcc24d1-70be-4acd-af25-a2b8faa0220e,MNTR,27000,SITE|6577b77e-93fe-486b-bc95-b77c5ce6a18e,10,au.bom.site.056018
MNTR|70b7065e-a236-4e10-9ee7-a743004af038,MNTR|70b7065e-a236-4e10-9ee7-a743004af038,0,2023-07-03T00:12:19.992039Z,-26.4390917,133.281323,0.15,FRONIUS,70b7065e-a236-4e10-9ee7-a743004af038,MNTR,4880,SITE|e6972971-6b71-4d3e-b84f-5ae340a046e5,10,au.bom.site.009977
MNTR|ae99bcc7-b6db-42d9-b56a-6f025ba2df3b,MNTR|ae99bcc7-b6db-42d9-b56a-6f025ba2df3b,0,2023-07-03T01:21:31.822503Z,-26.4390917,133.281323,0.15,FRONIUS,ae99bcc7-b6db-42d9-b56a-6f025ba2df3b,MNTR,27000,SITE|48e8dada-17d1-4b25-a020-eec0637ea8ca,10,au.bom.site.066212
MNTR|3515931,MNTR|3515931,0,2022-12-06T06:03:36.273764Z,-26.4390917,133.281323,0.15,SMA,3515931,MNTR,27710,SITE|587c7aa6-d0f2-46cb-aea6-8d58db056531,10,au.bom.site.060141
MNTR|4404515,MNTR|4404515,0,2022-11-22T06:00:53.281461Z,-26.4390917,133.281323,0.15,SMA,4404515,MNTR,22890,SITE|6453614b-9943-4590-8988-c733754c388c,10,au.bom.site.063303
MNTR|6852987,MNTR|6852987,0,2022-11-30T03:36:02.485398Z,-26.4390917,133.281323,0.15,SMA,6852987,MNTR,21847,SITE|35c45ad9-26cb-4b56-baba-2e66804d7cc0,10,au.bom.site.091237
MNTR|397d79e3-5179-437e-8075-a9e7002ef5a6,MNTR|397d79e3-5179-437e-8075-a9e7002ef5a6,0,2023-07-03T02:10:26.196380Z,-26.4390917,133.281323,0.15,FRONIUS,397d79e3-5179-437e-8075-a9e7002ef5a6,MNTR,11850,SITE|0f9adac3-51ff-4aa8-a345-d76827e86a53,10,au.bom.site.009256
MNTR|a0e11aa0-5560-4301-a04a-5cdf64320c41,MNTR|a0e11aa0-5560-4301-a04a-5cdf64320c41,0,2023-07-03T04:52:51.433904Z,-26.4390917,133.281323,0.15,FRONIUS,a0e11aa0-5560-4301-a04a-5cdf64320c41,MNTR,27000,SITE|5bdbe77a-1af1-4dc6-85f7-82e017c7146b,10,au.bom.site.009225
MNTR|34690c91-f7b9-43d9-9f86-a51a00a63af4,MNTR|34690c91-f7b9-43d9-9f86-a51a00a63af4,0,2023-07-03T02:10:00.472221Z,-26.4390917,133.281323,0.15,FRONIUS,34690c91-f7b9-43d9-9f86-a51a00a63af4,MNTR,15600,SITE|c64ff062-9e73-47dd-9c73-9bf6858a39ca,10,au.bom.site.009225
MNTR|c70a1aef-52ae-459a-a91a-e2d90ac83802,MNTR|c70a1aef-52ae-459a-a91a-e2d90ac83802,0,2023-01-24T03:40:23.626604Z,-26.4390917,133.281323,0.15,SMA,c70a1aef-52ae-459a-a91a-e2d90ac83802,MNTR,66640,SITE|ab7c521c-af4f-483a-a2b9-8f217556b43e,10,au.bom.site.068228
MNTR|1172298_1_1_1,MNTR|1172298_1_1_1,0,2023-02-02T23:46:24.709074Z,-26.4390917,133.281323,0.15,SUNGROW,1172298_1_1_1,MNTR,97290,SITE|51fc5826-1f96-494a-bf4d-d6b86c8fbf16,10,au.bom.site.060141
MNTR|d5c39a23-dc9c-4241-a06c-a9a421be0e00,MNTR|d5c39a23-dc9c-4241-a06c-a9a421be0e00,0,2023-02-08T00:19:09.644581Z,-26.4390917,133.281323,0.15,SMA,d5c39a23-dc9c-4241-a06c-a9a421be0e00,MNTR,27770,SITE|447d82fc-bb77-4cdf-acee-460754a18576,10,au.bom.site.024024
MNTR|fec4d314-d96d-49e4-a596-dcba3b84ba13,MNTR|fec4d314-d96d-49e4-a596-dcba3b84ba13,0,2023-07-03T05:14:35.597902Z,-26.4390917,133.281323,0.15,FRONIUS,fec4d314-d96d-49e4-a596-dcba3b84ba13,MNTR,12500,SITE|c3fd5eef-3a34-427e-80b3-4f63eb171a30,10,au.bom.site.032197
MNTR|2d6de518-4bbd-490b-8b48-04ad84f12257,MNTR|2d6de518-4bbd-490b-8b48-04ad84f12257,0,2023-06-30T04:19:55.778455Z,-26.4390917,133.281323,0.15,FRONIUS,2d6de518-4bbd-490b-8b48-04ad84f12257,MNTR,20000,SITE|6e1382a7-fdbf-4cdb-9e0b-19276e55637d,10,au.bom.site.009172
MNTR|6006118,MNTR|6006118,0,2023-02-09T05:42:47.091631Z,-26.4390917,133.281323,0.15,SMA,6006118,MNTR,26150,SITE|487fc4d8-2466-4073-af92-d79c795b882d,10,au.bom.site.009977
MNTR|f30df05b-254b-44bb-ba47-3b16ecae8ae9,MNTR|f30df05b-254b-44bb-ba47-3b16ecae8ae9,0,2023-02-09T01:43:49.409986Z,-26.4390917,133.281323,0.15,SMA,f30df05b-254b-44bb-ba47-3b16ecae8ae9,MNTR,63530,SITE|168aaef9-3765-4713-9656-c2a73681f2da,10,au.bom.site.087113
MNTR|6f84f675-b66e-4486-a780-01a614677363,MNTR|6f84f675-b66e-4486-a780-01a614677363,0,2023-06-30T06:02:28.710248Z,-26.4390917,133.281323,0.15,FRONIUS,6f84f675-b66e-4486-a780-01a614677363,MNTR,17500,SITE|50fea766-9375-4170-8940-190dccb6b757,10,au.bom.site.031222
MNTR|1176088_1_4_1,MNTR|1176088_1_4_1,0,2023-02-03T00:02:06.439619Z,-26.4390917,133.281323,0.15,SUNGROW,1176088_1_4_1,MNTR,100130,SITE|414597da-2082-4b13-ab6e-1742ce5eb7f7,10,au.bom.site.040958
"MNTR|7E15D500-68	","MNTR|7E15D500-68	",0,2023-07-21T06:51:48.441168Z,-26.4390917,133.281323,0.15,SOLAREDGEV1,"7E15D500-68	",MNTR,21057,SITE|89f4dfee-9a80-44b7-8ca2-1f693175ab24,10,au.bom.site.067119
MNTR|7E04EF57-C8,MNTR|7E04EF57-C8,0,2023-07-25T01:48:35.485320Z,-26.4390917,133.281323,0.15,SOLAREDGEV1,7E04EF57-C8,MNTR,130969,SITE|c523975a-75e9-4198-9f77-2e7198aa331c,10,au.bom.site.058216
MNTR|DD34108928763,MNTR|DD34108928763,0,2023-02-03T00:58:32.466344Z,-26.4390917,133.281323,0.15,WATTWATCHERS,DD34108928763,MNTR,24000,SITE|101d1590-6ed3-4769-b744-94c9270448ec,10,au.bom.site.066037
MNTR|7052895,MNTR|7052895,0,2022-12-07T06:57:50.723470Z,-26.4390917,133.281323,0.15,SMA,7052895,MNTR,119950,SITE|1e6c7292-9689-4b51-9271-1a9e80a09ecf,10,au.bom.site.140009
MNTR|429e35b8-2d8c-445a-b3f0-ac6d004d004f,MNTR|429e35b8-2d8c-445a-b3f0-ac6d004d004f,0,2023-06-30T05:21:58.649295Z,-26.4390917,133.281323,0.15,FRONIUS,429e35b8-2d8c-445a-b3f0-ac6d004d004f,MNTR,15000,SITE|a7039703-06ed-49b0-aaab-78fe1f5a0c9b,10,au.bom.site.040958
MNTR|e9c874af-0eb8-4a0d-8094-a3bd5bdf3b18,MNTR|e9c874af-0eb8-4a0d-8094-a3bd5bdf3b18,0,2023-07-03T01:55:20.202424Z,-26.4390917,133.281323,0.15,FRONIUS,e9c874af-0eb8-4a0d-8094-a3bd5bdf3b18,MNTR,14720,SITE|beece72d-9562-4568-bd7e-992323432ffc,10,au.bom.site.040958
MNTR|3e09fe13-04ea-4a53-83dd-c5bcb572eec6,MNTR|3e09fe13-04ea-4a53-83dd-c5bcb572eec6,0,2023-06-30T05:18:10.384527Z,-26.4390917,133.281323,0.15,FRONIUS,3e09fe13-04ea-4a53-83dd-c5bcb572eec6,MNTR,10000,SITE|607b1f3c-24ab-41f4-9645-baf451953cba,10,au.bom.site.079100
MNTR|5293494,MNTR|5293494,0,2022-11-30T04:17:49.770528Z,-26.4390917,133.281323,0.15,SMA,5293494,MNTR,18125,SITE|d3688cf2-d471-4fce-9bae-0676f0f03417,10,au.bom.site.080091
MNTR|7048092,MNTR|7048092,0,2022-12-06T03:33:47.754942Z,-26.4390917,133.281323,0.15,SMA,7048092,MNTR,134200,SITE|f7a4652e-6a50-48ed-8746-cc4b78c37f35,10,au.bom.site.060168
MNTR|1085f162-24d3-4b13-b956-ac3e00268f54,MNTR|1085f162-24d3-4b13-b956-ac3e00268f54,0,2023-06-30T05:11:19.035293Z,-26.4390917,133.281323,0.15,FRONIUS,1085f162-24d3-4b13-b956-ac3e00268f54,MNTR,10000,SITE|ac82480a-4d79-405e-9e9e-3a45aeffe6ec,10,au.bom.site.040913
MNTR|1163283_1_6_1,MNTR|1163283_1_6_1,0,2023-02-02T22:53:40.815204Z,-26.4390917,133.281323,0.15,SUNGROW,1163283_1_6_1,MNTR,126000,SITE|067182b0-4043-4e5e-929b-d61537b1041b,10,au.bom.site.061366
MNTR|a50b72aa-82b2-4d5d-9ae7-83d4baadbff4,MNTR|a50b72aa-82b2-4d5d-9ae7-83d4baadbff4,0,2023-06-30T04:18:05.211278Z,-26.4390917,133.281323,0.15,FRONIUS,a50b72aa-82b2-4d5d-9ae7-83d4baadbff4,MNTR,15000,SITE|1951ec90-55ba-42d4-a422-8f8677d95d25,10,au.bom.site.009256
MNTR|ecc9b3aa-d484-4a4e-87b5-3c8233afeef6,MNTR|ecc9b3aa-d484-4a4e-87b5-3c8233afeef6,0,2023-07-03T00:37:35.525835Z,-26.4390917,133.281323,0.15,FRONIUS,ecc9b3aa-d484-4a4e-87b5-3c8233afeef6,MNTR,20000,SITE|376f1c2a-26cb-4bb3-9807-765bd9d34fff,10,au.bom.site.009225
MNTR|0e480729-179b-460c-b8c4-d4b22329e2d7,MNTR|0e480729-179b-460c-b8c4-d4b22329e2d7,0,2023-01-24T05:57:17.946182Z,-26.4390917,133.281323,0.15,SMA,0e480729-179b-460c-b8c4-d4b22329e2d7,MNTR,93980,SITE|4fb866f8-c522-4f91-8fd9-dbadab3ac4be,10,au.bom.site.040861
MNTR|8ace50da-1efd-4966-bc75-c31febeaf7db,MNTR|8ace50da-1efd-4966-bc75-c31febeaf7db,0,2023-07-03T04:48:32.143542Z,-26.4390917,133.281323,0.15,FRONIUS,8ace50da-1efd-4966-bc75-c31febeaf7db,MNTR,19600,SITE|33731c98-a9ff-4d2a-a79b-7473cb480f68,10,au.bom.site.009225
MNTR|5708441,MNTR|5708441,0,2022-12-08T05:24:16.244664Z,-26.4390917,133.281323,0.15,SMA,5708441,MNTR,28540,SITE|f7c95edc-00cb-41cb-ae0e-eae8ea787ec3,10,au.bom.site.023034
MNTR|ae3225aa-3cdd-45a0-b45a-24bd8bb5c063,MNTR|ae3225aa-3cdd-45a0-b45a-24bd8bb5c063,0,2023-06-30T05:06:19.901626Z,-26.4390917,133.281323,0.15,FRONIUS,ae3225aa-3cdd-45a0-b45a-24bd8bb5c063,MNTR,15000,SITE|8353b6b2-ec84-4f35-8e2e-ff1b48530dbe,10,au.bom.site.040913
